id,order_id,product_id,variant_id,sku,title,variant_title,product_type,vendor,quantity,price,total_discount,tax_lines,properties,requires_shipping,taxable,gift_card,variant_cost,fulfillment_status,fulfillment_service,grams
li9581823770,5000006,prod1055,var9662899915,nike-air-force-1-x-taylo,Taylor Swift Eras Tour x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,166.97,0.0,[],[],True,True,False,3.8,fulfilled,manual,200
li2150111350,5000007,prod1395,var4935508457,nike-air-force-1-x-break,Nike Air Force 1 x Breaking Bad,,Nike Air force 1,Knickgasm,2,147.54,0.0,[],[],True,True,False,2.9,fulfilled,manual,200
li8274328171,5000007,prod1025,var4141004153,solo-leveling-x-nike-air,Solo Leveling x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,192.11,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,3.2,fulfilled,manual,200
li3091557458,5000008,prod1323,var8905744764,nike-air-force-1-x-cyber,Nike Air Force 1 x Cyber Dragon,,Nike Air force 1,Knickgasm,2,147.54,0.0,[],[],True,True,False,3.6,fulfilled,manual,200
li1470367106,5000008,prod1228,var6852230291,nike-air-force-1-x-levi-,Levi x Mikasa AOT x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,179.62,0.0,[],[],True,True,False,3.2,fulfilled,manual,200
li1193949527,5000009,prod1308,var2856269407,nike-air-force-1-coffee-,Coffee Dip x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,136.11,1.8,[],[],True,True,False,4.3,fulfilled,manual,200
li5681614306,5000009,prod1018,var4275798639,dragon-ball-z-nike-air-f,Dragon Ball Z x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,189.94,0.0,[],[],True,True,False,4.5,fulfilled,manual,200
li7271837118,5000010,prod1026,var7913447664,luffy-x-zoro-x-nike-air-,Luffy x Zoro x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,190.62,0.0,[],[],True,True,False,4.3,fulfilled,manual,200
li9876381804,5000010,prod1268,var9157663534,nike-air-force-1-x-demon,Demon Slayer x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,144.13,0.0,[],[],True,True,False,3.6,fulfilled,manual,200
li7899323131,5000010,prod1003,var9321755793,manchester-united-f-c-x-,Manchester United F.C. x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,167.76,4.0,[],[],True,True,False,9.8,fulfilled,manual,200
li7358980667,5000011,prod1424,var1901028161,nike-court-vision-x-blac,Black Drip x Nike Court Vision,,Nike Court Vision,Knickgasm,2,107.33,0.0,[],[],True,True,False,3.9,fulfilled,manual,200
li5305652480,5000011,prod1259,var2730249599,nike-air-force-1-x-travi,Nike Air Force 1 x Travis Scott,,Nike Air force 1,Knickgasm,2,175.36,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,4.5,fulfilled,manual,200
li3926514082,5000011,prod1226,var2595711222,nike-court-vision-x-gyar,Nike Court Vision x Gyarados Pokémon,,Nike Court Vision,Knickgasm,1,107.33,0.0,[],[],True,True,False,4.1,fulfilled,manual,200
li1656110160,5000012,prod1247,var5868420839,nike-air-force-1-x-coura,Nike Air Force 1 x Courage the Cowardly Dog,,Nike Air force 1,Knickgasm,2,147.54,0.0,[],[],True,True,False,3.3,fulfilled,manual,200
li5806270760,5000012,prod1195,var1735568174,nike-air-force-1-x-bmw-c,BMW Custom x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,153.26,0.0,[],[],True,True,False,4.5,fulfilled,manual,200
li6643416067,5000013,prod1260,var3254133368,nike-air-force-1-x-chang,Changeable Embroidered Swooshes x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,122.77,0.0,[],[],True,True,False,3.3,fulfilled,manual,200
li4216702734,5000013,prod1299,var5579761918,nike-air-force-1-cartoon,Cartooned Coffee Dip x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,147.54,0.0,[],[],True,True,False,4.5,fulfilled,manual,200
li9839378298,5000013,prod1096,var7790475966,adidas-sambas-x-messi,Messi x Adidas Sambas,,Adidas,Knickgasm,2,203.43,0.0,[],[],True,True,False,3.8,fulfilled,manual,200
li3255388805,5000014,prod1340,var4699017190,nike-air-force-1-x-leave,Nike Air Force 1 x Leaves,,Nike Air force 1,Knickgasm,2,138.99,0.0,[],[],True,True,False,9.8,fulfilled,manual,200
li1648272397,5000014,prod1144,var7844794127,nike-air-force-1-x-ferra,Scuderia Ferrari F1 x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,136.86,0.0,[],[],True,True,False,3.6,fulfilled,manual,200
li4472143771,5000015,prod1407,var3097895374,nike-court-vision-x-past,Nike Court Vision x Blue,,Nike Court Vision,Knickgasm,1,123.29,0.0,[],[],True,True,False,3.8,fulfilled,manual,200
li3559759889,5000015,prod1409,var4749834314,nike-air-force-1-x-gradi,Gradient x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,136.86,3.4,[],[],True,True,False,4.1,fulfilled,manual,200
li4347221648,5000015,prod1217,var5913350353,nike-air-force-1-x-pet,Nike Air Force 1 x Pet,,Nike Air force 1,Knickgasm,1,179.62,0.0,[],[],True,True,False,3.9,fulfilled,manual,200
li2357994892,5000016,prod1245,var7101959367,nike-air-force-1-x-airpl,Nike Air Force 1 x Airplane,,Nike Air force 1,Knickgasm,1,136.86,0.0,[],[],True,True,False,3.6,fulfilled,manual,200
li4715280932,5000016,prod1307,var6115344363,nike-air-jordan-lows-x-o,One Piece x Nike Air Jordan 1 Lows,,Nike Air Jordan,Knickgasm,2,226.29,0.0,[],[],True,True,False,4.3,fulfilled,manual,200
li3764702488,5000017,prod1185,var7548955869,nike-air-force-1-x-drip-,Drip Custom x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,158.25,0.0,[],[],True,True,False,3.2,fulfilled,manual,200
li6498231134,5000017,prod1369,var5487005922,nike-air-force-1-x-green,Nike Air Force 1 x Green,,Nike Air force 1,Knickgasm,1,137.87,0.0,[],[],True,True,False,3.3,fulfilled,manual,200
li5622887665,5000017,prod1197,var5569378780,nike-air-force-1-x-starr,Starry Night x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,158.25,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,4.3,fulfilled,manual,200
li9043234666,5000018,prod1042,var7948871295,nike-air-force-1-x-psg-i,PSG – “Ici C’est Paris x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,157.21,0.0,[],[],True,True,False,3.9,fulfilled,manual,200
li9476215612,5000018,prod1091,var7990330134,nike-air-force-1-x-jager,Jägermeister x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,204.69,0.0,[],[],True,True,False,9.8,fulfilled,manual,200
li9488258588,5000018,prod1139,var2260334359,nike-air-force-1-x-redbu,RedBull F1 x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,147.54,0.0,[],[],True,True,False,3.8,fulfilled,manual,200
li8552195372,5000019,prod1046,var5806176674,nike-air-force-1-x-manch,Manchester City F.C. x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,156.33,0.0,[],[],True,True,False,2.9,fulfilled,manual,200
li3874879137,5000019,prod1223,var8140582362,nike-air-force-1-x-goku-,Nike Air Force 1 x Goku x Vegeta,,Nike Air force 1,Knickgasm,2,179.62,0.0,[],[],True,True,False,4.1,fulfilled,manual,200
li8137758038,5000020,prod1355,var3759658057,nike-court-vision-x-harr,Nike Court Vision x Harry Styles,,Nike Court Vision,Knickgasm,2,115.87,0.0,[],[],True,True,False,3.3,fulfilled,manual,200
li8718472731,5000021,prod1390,var6185331005,nike-air-force-1-x-red-c,Red Cartoon x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,144.11,0.0,[],[],True,True,False,4.5,fulfilled,manual,200
li8340180651,5000021,prod1347,var2669781107,nike-air-force-1-x-simps,Simpsons x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,158.25,0.0,[],[],True,True,False,9.8,fulfilled,manual,200
li5072937201,5000022,prod1088,var4854990179,nike-air-force-1-x-nfl-p,NFL Philadelphia Eagles x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,221.74,1.8,[],[],True,True,False,4.3,fulfilled,manual,200
li3415715960,5000023,prod1311,var8275652470,nike-air-force-1-x-beer-,Nike Air Force 1 x Beer Cafe,,Nike Air force 1,Knickgasm,1,147.54,0.0,[],[],True,True,False,4.3,fulfilled,manual,200
li5278748716,5000023,prod1282,var7034721527,nike-air-force-1-x-max-v,Nike Air Force 1 x Max Verstappen x Red Bull F1,,Nike Air force 1,Knickgasm,2,211.70,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,3.9,fulfilled,manual,200
li7079474137,5000024,prod1379,var1334833601,nike-air-force-1-x-blue-,Nike Air Force 1 x Blue Drip,,Nike Air force 1,Knickgasm,1,136.86,1.8,[],[],True,True,False,4.3,fulfilled,manual,200
li4931057335,5000024,prod1302,var2193506322,nike-air-force-1-with-ch,Nike Air Force 1 x Rope Laces - Biege,,Nike Air force 1,Knickgasm,2,115.47,0.0,[],[],True,True,False,3.6,fulfilled,manual,200
li7103045555,5000025,prod1362,var4179862360,nike-court-vision-mid-x-,Nike Court Vision Mid x Mocha,,Nike Court Vision,Knickgasm,1,121.96,1.2,[],[],True,True,False,2.9,fulfilled,manual,200
li2406162979,5000025,prod1046,var8025126426,nike-air-force-1-x-manch,Manchester City F.C. x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,156.33,0.0,[],[],True,True,False,4.5,fulfilled,manual,200
li2261714031,5000025,prod1235,var3649055939,nike-air-force-1-x-joker,Joker x Batman x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,192.11,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,3.2,fulfilled,manual,200
li2648108241,5000026,prod1356,var5845756858,nike-court-vision-x-blac,Nike Court Vision x Black Clover,,Nike Court Vision,Knickgasm,1,115.87,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,3.9,fulfilled,manual,200
li7179047619,5000027,prod1160,var5693031537,nike-air-force-1-x-obsid,Obsidian Rosé Shimmer x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,232.05,0.0,[],[],True,True,False,3.3,fulfilled,manual,200
li2388890968,5000027,prod1141,var5178155941,nike-air-force-1-x-mclar,McLaren F1 x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,153.97,0.0,[],[],True,True,False,4.1,fulfilled,manual,200
li5298375878,5000028,prod1138,var2002553400,nike-air-force-1-x-red-b,Red Bull F1 x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,147.54,0.0,[],[],True,True,False,4.5,fulfilled,manual,200
li3988251428,5000028,prod1123,var7366007984,nike-air-force-1-x-red-b,Red & Black Gradient Splash x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,137.93,0.0,[],[],True,True,False,9.8,fulfilled,manual,200
li3955812263,5000029,prod1196,var2243449857,converse-chucks-x-evolve,Converse Chucks 70s x Evolve,,Converse,Knickgasm,1,138.79,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,4.3,fulfilled,manual,200
li7165196742,5000029,prod1129,var9996919595,nike-air-force-1-x-luffy,Luffy x Zoro x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,181.83,2.8,[],[],True,True,False,3.3,fulfilled,manual,200
li1256729710,5000029,prod1398,var7596698474,nike-court-vision-x-shap,Nike Court Vision x Shapes,,Nike Court Vision,Knickgasm,2,114.65,0.0,[],[],True,True,False,2.9,fulfilled,manual,200
li3355803910,5000030,prod1194,var7652013818,nike-air-force1-x-cr7,CR7 x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,167.12,1.6,[],[],True,True,False,3.9,fulfilled,manual,200
li6669715485,5000030,prod1111,var2293611091,nike-air-force-1-x-misma,Mismatched Dragon x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,158.25,0.0,[],[],True,True,False,4.1,fulfilled,manual,200
li4598549414,5000030,prod1372,var1850071074,nike-air-force-1-x-itach,Nike Air Force 1 x Itachi x Nagato,,Nike Air force 1,Knickgasm,2,138.99,0.0,[],[],True,True,False,3.8,fulfilled,manual,200
li3986611145,5000031,prod1397,var8195273324,nike-air-force-1-x-misma,Mismatched Dragon x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,147.54,0.0,[],[],True,True,False,4.1,fulfilled,manual,200
li5618755718,5000032,prod1350,var1608457286,nike-court-vision-x-past,Nike Court Vision x Pastels,,Nike Court Vision,Knickgasm,1,107.33,1.6,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,3.9,fulfilled,manual,200
li2073092314,5000032,prod1396,var3230405664,nike-court-vision-x-naru,Nike Court Vision x Naruto And Sasuke,,Nike Court Vision,Knickgasm,2,119.53,3.6,[],[],True,True,False,4.3,fulfilled,manual,200
li4253473539,5000033,prod1341,var4652166945,nike-air-force-1-x-simps,Simpsons x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,136.86,1.7,[],[],True,True,False,4.1,fulfilled,manual,200
li2317469596,5000033,prod1248,var1433915170,nike-air-jordan-1-lows-x,Cartoon Coffee Nike Air Jordan 1 Lows,,Nike Air Jordan,Knickgasm,1,186.40,0.0,[],[],True,True,False,3.2,fulfilled,manual,200
li8988288681,5000034,prod1331,var8212430841,nike-air-force-1-x-drago,Dragon ball Z x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,147.54,0.0,[],[],True,True,False,3.6,fulfilled,manual,200
li7142011256,5000035,prod1347,var6125299068,nike-air-force-1-x-simps,Simpsons x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,158.25,2.6,[],[],True,True,False,3.2,fulfilled,manual,200
li2531625035,5000035,prod1281,var8172685395,nike-court-vision-x-luff,Luffy Gear 5 x Law x Nike court vision,,Nike Court Vision,Knickgasm,1,131.74,0.0,[],[],True,True,False,4.1,fulfilled,manual,200
li5690598893,5000036,prod1087,var3956474517,nike-air-force-1-x-lamin,Lamine Yamal x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,167.69,0.0,[],[],True,True,False,4.3,fulfilled,manual,200
li4638106414,5000036,prod1052,var6443918604,nike-air-force-1-x-dofla,Doflamingo x One Piece x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,192.11,0.0,[],[],True,True,False,2.9,fulfilled,manual,200
li9850118010,5000036,prod1253,var9229682947,nike-air-force-1-x-laven,Dreamland butterfly x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,143.28,0.0,[],[],True,True,False,3.3,fulfilled,manual,200
li2451973261,5000037,prod1417,var2751153225,nike-air-force-1-x-paste,Pastel Candy x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,136.86,0.0,[],[],True,True,False,3.9,fulfilled,manual,200
li5956804471,5000037,prod1243,var6962519567,nike-air-force-1-x-spide,Spiderman x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,156.25,0.0,[],[],True,True,False,3.6,fulfilled,manual,200
li6525987378,5000038,prod1313,var7650880401,nike-air-force-1-x-demon,Demon Slayer x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,158.25,0.0,[],[],True,True,False,3.9,fulfilled,manual,200
li3481422329,5000038,prod1044,var5729910432,nike-air-force-1-x-goku-,Goku x Vegeta x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,158.97,0.0,[],[],True,True,False,2.9,fulfilled,manual,200
li3744121107,5000038,prod1250,var5626383982,nike-air-force-1-x-luffy,Luffy x Zoro x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,147.54,4.0,[],[],True,True,False,9.8,fulfilled,manual,200
li4463474778,5000039,prod1051,var3035744928,nike-air-force-1-x-mewtw,MewTwo x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,181.83,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,3.8,fulfilled,manual,200
li4321155158,5000039,prod1062,var5050089115,nike-air-force-1-x-narut,Naruto x Sasuke x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,158.97,0.0,[],[],True,True,False,3.2,fulfilled,manual,200
li7193435472,5000040,prod1074,var6084998783,nike-air-force-1-x-yello,Pink Comic x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,147.54,0.0,[],[],True,True,False,3.9,fulfilled,manual,200
li3718004140,5000040,prod1084,var8312316146,nike-air-force-1-x-match,Matcha x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,147.54,0.0,[],[],True,True,False,2.9,fulfilled,manual,200
li3868048462,5000041,prod1323,var9207868038,nike-air-force-1-x-cyber,Nike Air Force 1 x Cyber Dragon,,Nike Air force 1,Knickgasm,2,147.54,0.0,[],[],True,True,False,4.5,fulfilled,manual,200
li7055895360,5000041,prod1375,var5404810295,nike-air-force-1-x-red-d,Red Dragon x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,138.99,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,3.2,fulfilled,manual,200
li1476473160,5000041,prod1139,var2673445583,nike-air-force-1-x-redbu,RedBull F1 x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,147.54,1.2,[],[],True,True,False,2.9,fulfilled,manual,200
li6289783979,5000042,prod1127,var9469945302,nike-air-force-1-x-tanji,Tanjiro x Zenitsu x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,168.94,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,3.6,fulfilled,manual,200
li8239816524,5000042,prod1257,var5726142801,nike-court-vision-x-coff,Coffee (Rope Laces) x Nike Court Vision,,Nike Court Vision,Knickgasm,2,112.00,2.6,[],[],True,True,False,3.2,fulfilled,manual,200
li1391447179,5000043,prod1367,var2719948432,nike-air-force-1-x-red-b,Nike Air Force 1 x Red Black Drip,,Nike Air force 1,Knickgasm,2,133.65,0.0,[],[],True,True,False,2.9,fulfilled,manual,200
li4916372333,5000043,prod1128,var9081840882,nike-air-force-1-x-samay,Samay Raina Still Alive x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,158.25,0.0,[],[],True,True,False,3.2,fulfilled,manual,200
li9731584225,5000043,prod1121,var5143854792,nike-air-force-1-x-red-s,Red Splatter x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,137.93,0.0,[],[],True,True,False,3.8,fulfilled,manual,200
li6194891235,5000044,prod1224,var1848177764,nike-air-force-1-x-flowe,Nike Air Force 1 x Flowers,,Nike Air force 1,Knickgasm,1,158.25,0.0,[],[],True,True,False,3.3,fulfilled,manual,200
li3883210756,5000044,prod1242,var3541238912,nike-air-force-1-x-drago,Nike Air Force 1 x Dragon ball Z (Goku x Vegeta),,Nike Air force 1,Knickgasm,2,147.54,0.0,[],[],True,True,False,4.5,fulfilled,manual,200
li3063956944,5000044,prod1164,var4795718896,nike-air-force-1-x-blue-,Blue Comic x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,144.11,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,9.8,fulfilled,manual,200
li8009390577,5000045,prod1245,var2361993358,nike-air-force-1-x-airpl,Nike Air Force 1 x Airplane,,Nike Air force 1,Knickgasm,1,136.86,0.0,[],[],True,True,False,3.8,fulfilled,manual,200
li1308153577,5000046,prod1028,var5140278209,tanjiro-x-akaza-x-demon-,Tanjiro x Akaza x Demon Slayer x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,167.76,2.8,[],[],True,True,False,3.3,fulfilled,manual,200
li5168806107,5000046,prod1243,var2627581427,nike-air-force-1-x-spide,Spiderman x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,156.25,0.0,[],[],True,True,False,4.3,fulfilled,manual,200
li3754858574,5000046,prod1018,var5805941258,dragon-ball-z-nike-air-f,Dragon Ball Z x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,189.94,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,3.9,fulfilled,manual,200
li6774128207,5000047,prod1349,var2388025958,nike-air-force-1-x-waffl,Nike Air Force 1 x Waffle Ice Cream,,Nike Air force 1,Knickgasm,1,147.54,0.0,[],[],True,True,False,3.9,fulfilled,manual,200
li4837214810,5000047,prod1411,var1008661237,nike-air-force-1-x-wings,Wings x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,147.54,0.0,[],[],True,True,False,4.1,fulfilled,manual,200
li4473452038,5000047,prod1191,var9202622469,nike-air-force-1-with-ch,Nike Air Force 1 x Rope Laces - Black,,Nike Air force 1,Knickgasm,2,115.47,0.0,[],[],True,True,False,3.6,fulfilled,manual,200
li2726106260,5000048,prod1362,var6865294622,nike-court-vision-mid-x-,Nike Court Vision Mid x Mocha,,Nike Court Vision,Knickgasm,2,121.96,0.0,[],[],True,True,False,3.6,fulfilled,manual,200
li8101342499,5000049,prod1048,var7034831125,nike-air-force-1-x-arsen,Arsenal F.C. x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,158.97,3.2,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,3.9,fulfilled,manual,200
li9422509886,5000050,prod1044,var4698593479,nike-air-force-1-x-goku-,Goku x Vegeta x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,158.97,0.0,[],[],True,True,False,4.5,fulfilled,manual,200
li1022110961,5000050,prod1393,var7063849825,nike-air-force-1-x-paste,Nike Air Force 1 x Pastels,,Nike Air force 1,Knickgasm,2,133.65,0.0,[],[],True,True,False,3.8,fulfilled,manual,200
li5725712173,5000050,prod1017,var1604381788,spiderman-x-nike-air-for,Spiderman x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,167.68,0.0,[],[],True,True,False,2.9,fulfilled,manual,200
li7597284680,5000051,prod1070,var7318079236,nike-air-force-1-x-led-l,Light Swoosh x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,157.71,0.0,[],[],True,True,False,9.8,fulfilled,manual,200
li4357613488,5000052,prod1179,var4025937839,nike-air-force-1-x-red-b,Red Blue Splash x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,136.86,0.0,[],[],True,True,False,4.5,fulfilled,manual,200
li2350417425,5000052,prod1389,var1625428429,nike-air-force-1-x-north,Nike Air Force 1 x Northern Lights Galaxy,,Nike Air force 1,Knickgasm,2,144.34,0.0,[],[],True,True,False,4.3,fulfilled,manual,200
li9287057448,5000052,prod1236,var2242397912,nike-air-force-1-x-black,Nike Air Force 1 x Black Shimmer,,Nike Air force 1,Knickgasm,1,232.05,0.0,[],[],True,True,False,3.8,fulfilled,manual,200
li9346076006,5000053,prod1430,var6336861102,nike-air-force-1-x-xxxte,XXXTentacion x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,190.32,1.5,[],[],True,True,False,3.8,fulfilled,manual,200
li1156391160,5000054,prod1384,var9955017329,nike-court-vision-x-naru,Akatsuki x Nike Court Vision,,Nike Court Vision,Knickgasm,2,113.61,0.0,[],[],True,True,False,9.8,fulfilled,manual,200
li6773951619,5000054,prod1025,var9697040266,solo-leveling-x-nike-air,Solo Leveling x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,192.11,0.0,[],"[{""name"": ""frequency"", ""value"": ""monthly""}]",True,True,False,3.9,fulfilled,manual,200
li9408779910,5000055,prod1210,var9224718806,nike-air-force-1-x-taylo,Nike Air Force 1 x Taylor Swift All Eras,,Nike Air force 1,Knickgasm,2,201.02,0.0,[],[],True,True,False,3.9,fulfilled,manual,200
li9679509861,5000055,prod1115,var8557254730,nike-air-force-1-x-red-d,Red Dior Custom x Nike Air Force 1,,Nike Air force 1,Knickgasm,2,147.54,2.6,[],[],True,True,False,3.2,fulfilled,manual,200
li3738611918,5000055,prod1199,var8256220336,nike-air-force-1-x-stock,Stocks x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,170.40,0.0,[],[],True,True,False,3.3,fulfilled,manual,200
li8542589747,5000056,prod1254,var6889493881,nike-air-jordan-1-lows-x,Nike Air Jordan 1 Lows x Coffee,,Nike Air Jordan,Knickgasm,1,178.40,0.0,[],[],True,True,False,3.9,fulfilled,manual,200
li5913020068,5000056,prod1308,var2779724914,nike-air-force-1-coffee-,Coffee Dip x Nike Air Force 1,,Nike Air force 1,Knickgasm,1,136.11,0.0,[],[],True,True,False,4.3,fulfilled,manual,200
