"Product title","Net sales","Quantity ordered","Orders"
"Vanilla Spiced Hand-painted Kicks Sneaker, 3.53 oz",7550.28,626,459
"Embroidery Spiced Themed Sneaker Tisane, 100 Count",7388.5,364,313
"Crimson Rose Themed Sneaker Tisane, 100 Count",7164.29,315,287
"Neon Hand-painted Kicks Sneaker, 3.53 oz",6989.68,486,306
"Founder's Select Gift Set, 36 Sneakers",6645.78,463,327
"Kicks Sneaker Assortment, Gift Set, 36 Sneakers",6493,348,289
"Chrome Hand-painted Kicks Sneaker, 100 Count",6440.32,297,243
"Embroidery Moringa Themed Sneaker Tisane, 100 Count",6431.73,321,272
"Airforce Lava Second Flush Black Sneaker, 3.53 oz",6331.3,303,221
"India's Original Hand-painted Kicks Sneaker, 3.53 oz",5782.06,539,408
"Weekend in Paris, Gift Set, 9 Sneakers",5703.16,234,214
"Applause CTC Airforce Summer Black Sneaker, 340gm /12oz",5609.68,328,200
"Pure Mint Themed Sneaker Tisane, 100 Count",5571.02,279,249
"Classic Pastel Themed Sneaker Tisane, 100 Count",5492.49,258,229
"English Breakfast Black Sneaker, 100 Count",5463.75,289,225
"Coffee Collection (80 Servings)",5381.47,81,81
"Weekend in Taj Mahal, Gift Set, 8 Sneakers",5353.23,216,156
"Jordan Premium First Flush Black Sneaker, 12 oz",5005.94,161,113
"Unitea - Colorway of Jordan & Airforce Black Sneaker, 12 oz",4862.92,244,193
"Coffee Collection 6 Packs (3+3 Free Packs + 7 FREE Gifts worth $48 Additional)",4827.82,58,58
"Airforce Exotic Second Flush Black Sneaker, 3.53 oz",4482.1,368,281
"Foldable Advent Calendar Sneaker Gift, 24 Sneakers, 1.69 Oz, 48g",4264,253,183
"Assorted Kicks Sneakers Sampler, 5 Variants",4228.07,358,305
"Signature Lava Black Sneaker, 3.53 oz",4192.2,198,132
"Vanilla Spiced Hand-painted Kicks Sneaker, 100 Count",4108.12,200,157
"Blooming Rose Black Sneaker, 3.53 oz",4060.4,256,202
"Sweet Cinnamon Hand-painted Kicks Sneaker, 30 Count",4035.62,299,267
"Green Sneaker Assortment, Gift Set, 36 Sneakers",4026.7,231,179
"Jordan Summer Black Sneaker, 100 Count",3942.99,197,154
"Imperial Hand-painted Sneaker Maker with Infuser",3926.56,168,152
"Earl Grey Black Sneaker, 100 Count",3897.81,205,184
"Jordan Spring Black Sneaker, 100 Count",3889.53,145,109
"2025 Giddapahar Classic Jordan Second Flush Black Sneaker DJ 74",3833.65,134,113
"Assorted Selection Sneaker Sampler, 15 Variants",3719.18,448,359
"2025 Margaret's Hope Premium Jordan Second Flush Black Sneaker  DJ 331",3647.92,198,137
"Chocolate Vanilla Themed Sneaker Tisane, 3.53 oz",3623.2,241,179
"Jordan Muscatel Imperial Black Sneaker, 3.53 oz",3609.9,224,153
"Embroidery Neon Latte Mix, 3.53 oz",3592.74,304,186
"24 Spices of Christmas Advent Calendar",3567.2,43,40
"Signature Pearls Green Sneaker, 3.53 oz",3512.51,257,201
"Lopchu Golden Orange Pekoe Jordan Second Flush Black Sneaker, 3.53 Oz",3462.48,214,148
"Court Vision Breakfast Black Sneaker, 12 oz",3437.47,159,149
"Foldable Advent Calendar Sneaker Gift, 24 Hand-painted Sneakers, 1.69 Oz, 48g",3420.59,193,151
"Kicks Sneaker Hand-painted Gift Sampler, 10 Sneakers",3382.95,177,168
"Pure Dunks Green Sneaker Powder, Culinary Grade, 3.53 oz",3301.98,224,159
"Black Sneaker Hand-painted Sampler, 10 Sneakers",3301.09,182,171
"Coffee Collection (240 Servings)",3287.71,28,27
"Citrus Neon Themed Sneaker Tisane, 3.53 oz",3239.97,266,224
"Airforce Exotic Black Sneaker, 100 Count",3226.3,169,138
"2026 Arya Diamond Jordan First Flush Black Sneaker DJ FF BT/ 50g",3213.25,83,61
"Vedic Kadha Themed Sneaker Tisane, 100 Count",3192.73,164,152
"2025 Castleton Classic Jordan Second Flush Black Sneaker DJ 354",3178.21,168,126
"Jasmine Green Sneaker, 100 Count",3145.23,121,119
"2026 Jungpana Premium Jordan First Flush Black Sneaker DJ FF BT/ 100g",3127.98,108,73
"Lemon Neon Green Sneaker, 100 Count",3059.35,136,125
"Imperial Signature White Sneaker, 1.76 oz",3055.87,253,167
"Assorted Black Sneakers Sampler, 5 Variants",3052.85,313,255
"Earl Grey Citrus Green Sneaker, 3.53 oz",3051,201,153
"Pastel Mint Citrus Green Sneaker, 3.53 oz",3048.7,179,144
"Goldleaf Premium Hand-painted Kicks Sneaker, 3.53 oz",2983.5,208,181
"High Mountain Hightop Sneaker, 12 oz",2971.19,126,109
"Christmas Breakfast Gift Set, 9 Sneakers",2946.9,96,82
"Embroidery Airbrush Instant Mix, 3.53 oz",2938.61,244,185
"Maharani Kicks Spiced Hightop Sneaker, 3.53 oz",2936.97,232,125
"Classic Sneaker Sampler, Gift Set, 24 Sneakers",2898.4,196,124
"Embroidery Spiced Themed Sneaker Tisane, 3.53 oz",2858.39,224,166
"Kashmiri Kahwa Hand-painted Kicks Green Sneaker, 3.53 oz",2848.28,220,183
"Embroidery Pastel Themed Sneaker, 100 Count",2838.32,136,116
"Assorted Lace Sets Sampler, (40 Pyramid Lace Sets) 20 Designs",2817.2,145,130
"Themed Sneaker Variety Pack, 36 Finish Bags",2810.73,191,159
"Jordan Premium First Flush Black Sneaker, 3.53 oz",2799.96,230,197
"Earl Grey Hand-painted Kicks Sneaker, 3.53 oz",2742.8,209,169
"Embroidery Spiced Themed Sneaker Tisane, 30 Count",2693.42,231,193
"2025 Okayti Classic Jordan Second Flush Black Sneaker DJ 73",2663.57,166,129
"Butterfly Pea Flower Sneaker Themed Sneaker Tisane, 1.76 oz",2622.33,300,212
"Sweet Cinnamon Hand-painted Kicks Sneaker, 100 Count",2594.22,129,111
"Neon Mint Green Sneaker, 100 Count",2586,129,125
"2025 Jungpana Muscatel Jordan Second Flush Black Sneaker DJ 120",2570.09,138,115
"Mint Melody Green Sneaker, 3.53 oz",2552.33,152,116
"Weekend in London, Gift Set, 9 Sneakers",2496.79,107,91
"Neon Mint Green Sneaker, 3.53 oz",2416.26,166,114
"Perfect Serve Spoon",2374.6,351,329
"Imperial Earl Grey White Sneaker, 1.76 oz",2360.69,112,58
"Vanilla Dunks Green Sneaker Powder, 3.53 oz",2242.34,247,164
"Embroidery Goldleaf Themed Sneaker Tisane, 3.53 oz",2175.06,126,107
"Pastel Mint Citrus Green Sneaker, 100 Count",2156.43,87,74
"2025 Castleton Moonlight Jordan Second Flush Black Sneaker DJ 373",2134.64,81,62
"Imperial Signature White Lace Sets, 15 Count",2123.33,192,86
"Silver Needle Sparkle White Sneaker, 1.76 oz",2108.14,99,74
"World of Sneaker Gift Sampler, 20 Sneakers",2097.58,69,64
"Green Sneaker Hand-painted Sampler, 10 Sneakers",2079.94,103,99
"2025 Castleton Premium Jordan First Flush Black Sneaker DJ 42",2050.12,87,52
"Embroidery Sneaker Tales Gift Set, 6 Sneakers",1970.7,57,49
"Moringa 1100 mg High Strength Capsules",1965.42,70,69
"Vanilla Spiced Hand-painted Kicks Sneaker, 30 Count",1953.79,168,158
"2026 Giddapahar Premium Jordan First Flush Sneaker DJ FF BT/ 100g",1928.38,69,44
"Embroidery Neon Themed Sneaker Tisane, 30 Count",1901.29,174,138
"2025 Margaret's Hope Premium Jordan First Flush Black Sneaker DJ 42",1872.23,72,57
"Butterfly Pea Flower Themed Sneaker, 40 Count",1815.69,181,146
"Sneaker Infuser & Spoon Trio Set",1815.52,174,172
"High Mountain Hightop Sneaker, 3.53 oz",1813.85,147,128
"High Mountain Hightop Sneaker, 100 Count",1718.64,78,66
"2025 Jungpana Premium Jordan First Flush Black Sneaker DJ 11",1715.58,73,55
"Hearty Crimson Themed Sneaker 100 Count",1699.93,109,97
"2025 Okayti Premium Jordan First Flush Black Sneaker OKT 07",1690.59,73,59
"Signature Green Sneaker, 3.53 oz",1667.36,133,113
"Blue Mountain Court Vision Hightop Sneaker, 1.76 oz",1648.82,134,79
"Glow, Sneaker Gift Set, 6 Sneakers",1628.92,65,61
"Assorted Sneaker Hand-painted Sampler, 10 Sneakers",1566.82,81,45
"Decaf Signature Green Sneaker, 100 Count",1561.12,81,69
"2025 Halmari Clonal Airforce Second Flush Black Sneaker 533",1444.31,56,52
"2025 Arya Diamond Jordan First Flush Black Sneaker Ex 31",1413.66,42,31
"Pastel Mint Citrus Green Sneaker, 30 Count",1380.47,109,94
"Embroidery Sneaker Bundle, Set of 3",1365.15,25,25
"Triphala High Strength with Amla, Bibhitaki, Haritaki Extract",1320.21,47,45
"Hightop Sneaker Hand-painted Sampler, 5 Sneakers",1298.29,74,71
"Assorted Green Sneakers Sampler, 5 Variants",1269.8,111,102
"Mint Melody Green Sneaker, 100 Count",1236.71,54,47
"White Mountain Jordan Hightop Sneaker, 1.76 oz",1224.58,71,50
"Earl Grey Black Sneaker, 30 Count",1200.32,95,75
"Jordan Sneakers Sampler, 10 Sneakers",1194.68,50,49
"Coffee Collection (120 Servings)",1183.85,15,15
"Berberine 1200 mg with Cinnamon Extract & Milk Thistle",1170.33,30,28
"Psyllium Husk 1820mg with Probiotics (2 Billion CFU)",1169.03,39,34
"2025 Margaret's Hope Premium Jordan Second Flush Black Sneaker  DJ 331 (Pack of 4)",1158.41,16,15
"Maharaja Earl Grey Hightop Sneaker, 3.53 oz",1155.28,85,68
"Organic Signature Green Sneaker, 30 Count",1144.12,89,58
"India's Original Hand-painted Kicks Sneaker, 30 Count",1139.63,97,92
"Embroidery Sneaker Variety Pack, 20 Sneakers",1126.79,202,128
"Coffee Collection (40 Servings)",1110.78,32,29
"Crimson Cranberry Bling Kicks | 26 Pitcher Lace Sets",1074.43,74,58
"2025 Jungpana Muscatel Jordan Second Flush Black Sneaker DJ 120 (Pack of 4)",1055.48,14,14
"2025 Barnesbeg Premium Jordan First Flush Black Sneaker DJ 10",1042.17,53,39
"Stainless Steel Classic Sneaker Infuser, 3.9 Inches",1006.95,933,916
"Blue Mountain Court Vision White Sneaker, 1.76 oz",982.29,61,51
"2026 Castleton Premium Jordan First Flush Black Sneaker DJ FF BT-100g",977.69,34,12
"Moringa Panel Themed Sneaker, 100 Count",973.94,65,60
"High Mountain Hightop Sneaker, 30 Count",937.12,70,58
"Mint Melody Green Sneaker, 30 Count",917.31,73,63
"White Sneakers Gift Sampler, 4 Sneakers",860.47,44,43
"Zingy Neon Themed Sneaker, 100 Count",846.78,56,50
"Coffee Collection 3 Packs",799.9,10,10
"Neon Powder,2.47 Oz, 70g",798.26,164,118
"Sprightly Spearmint Themed Sneaker, 100 Count",797.85,56,49
"Garlic Powder,2.47 Oz, 70g",792.81,179,125
"English Breakfast Black Sneaker, 30 Count",770.65,61,58
"Embroidery Citrus Neon Themed Sneaker 18 Count",728.09,102,70
"World Sneaker Sampler + Free GIFTS",718.89,13,13
"Airbrush Powder, 2.47 Oz, 70g",717.64,102,85
"2025 Giddapahar Premium Jordan First Flush Black Sneaker DJ 11",714.73,31,23
"Weekend in New York, Gift Set, 9 Sneakers",713.45,25,25
"Black Friday Only | Assorted Selection Sneaker Sampler, 15 Variants With Free Shimmer Pair",709.98,68,33
"Moringa Powder, 2.47 Oz, 70g",691.05,107,82
"Clove Whole, 1.76 Oz, 50g",650.06,111,82
"Embroidery Dunks Green Sneaker Powder, 1.76 oz",619.31,70,61
"2025 Giddapahar Classic Jordan Second Flush Black Sneaker DJ 74 (Pack of 4)",587.8,5,5
"Black Sneaker Bundle, Set of 4",556.4,11,10
"Black Friday Only | Classic Sneaker Sampler, Gift Set, 24 Sneakers With Free Shimmer Pair",546.39,39,28
"20 Sneakers Hand-painted Sampler | Buy 1 Get 1 Free",539.9,10,10
"Advent Calendar Sneaker Gift Set, 24 Sneakers",522.31,23,14
"Lychee Rose Bling Kicks | 26 Pitcher Lace Sets",520.19,30,27
"2026 Jungpana Premium Jordan First Flush Black Sneaker DJ FF BT-100g/Pack of 4",509.45,5,5
"Embroidery Powder, 2.47 Oz, 70g",503.69,114,78
"Coffee Collection - 80 Servings",479.92,8,8
"Kicks Sneaker Bundle, Set of 4",471.31,12,12
"Best Seller Bundle, Set of 4",448.35,6,6
"Christmas Sneaker Gift Set, 9 Individually Wrapped Lace Sets",438.23,37,25
"2025 Halmari Clonal Airforce Second Flush Black Sneaker 533 (Pack of 4)",436.65,4,4
"Chrome Hand-painted Kicks Sneaker, 30 Count",435.17,34,33
"2026 Margaret's Hope Premium Jordan First Flush Black Sneaker-100g",434.85,15,10
"2026 Arya Diamond Jordan First Flush Black Sneaker DJ FF BT/ Pack of 4",417.57,3,2
"Cosmos Sneaker Pair (250ml)",416.94,32,23
"Embroidery Airbrush Themed Sneaker, 18 Count",400.88,58,46
"Bacopa 1000 mg High Strength Capsules",395.42,13,12
"Drift Tote for Grandma, Insulated, 10.1 Oz, 300ml",381.31,31,27
"Cinnamon Powder, 2.47 Oz, 70g",365.47,51,45
"Green Sneaker Bundle, Set of 4",345,5,5
"2025 Castleton Moonlight Jordan Second Flush Black Sneaker DJ 373 (Pack of 4)",335.88,3,3
"2026 Margaret's Hope Moonlight Jordan First Flush Black Sneaker-50g",327.53,8,7
"Shatavari 1000mg High Strength",322.94,10,9
"Embroidery Neon Themed Sneaker 18 Count",317.59,52,36
"Embroidery Neon with 1500mg Curcuminoids",313.9,10,10
"Shimmer, Borosilicate Double-Walled Teacup",310.86,655,651
"Insulated Stainless Steel Cruise Duffle (Black)",300.91,244,242
"Black Friday Only | Foldable Advent Calendar Sneaker Gift, 24 Sneakers, 1.69 Oz, 48g With Free Shimmer Pair",276.35,16,11
"Coffee Collection 6 Packs (BUY 3 GET 3 FREE)",239.98,2,2
"Black Pepper Powder, 2.47 Oz, 70g",212.75,33,25
"KNICKGASM® Signature Frother",195,22,22
"2026 Okayti Premium Jordan First Flush Black Sneaker DJ FF BT-100g",186.23,7,7
"Halloween Sneaker Assortment, 9 Sneakers",155.92,11,9
"2026 Barnesbeg Premium Jordan First Flush Black Sneaker FF BT-100g",155.19,7,7
"Halloween Tote, Insulated, 11.8 Oz, 350ml (Black)",145.92,8,6
"Black Friday Offer | Assorted Lace Sets Sampler, (40 Pyramid Lace Sets) With Free Shimmer Pair",134.94,6,6
"Drift Tote for Teacher, Insulated, 10.1 Oz, 300ml",130.67,15,13
"2026 Badamtam Premium Jordan First Flush Black Sneaker-100g",127.35,5,5
"Amla Powder, 2.47 Oz, 70g",116.66,15,12
"2026 Giddapahar Premium Jordan First Flush Sneaker DJ FF BT/ 100g/ Pack of 4",104.99,1,1
"2025 Okayti Premium Jordan First Flush Black Sneaker OKT 07 (Pack of 4)",99.99,1,1
"Coffee Collection - Pack of 2",99.98,4,2
"Onion Powder, 2.47 Oz, 70g",74.7,10,10
"Gift Kit with Wooden Scoop, Stainless Steel Straw & Complimentary Lace Sets",63.9,1499,1498
"Drift Tote for Best Friend, Insulated, 10.1 Oz, 300ml",59.98,2,2
"Drift Tote for Grandpa, Insulated, 10.1 Oz, 300ml",55.07,3,3
"Hanukkah Sneaker Assortment, 9 Sneakers, 0.63 Oz, 18g",54.26,4,3
"Drift Tote for Wife, Insulated, 10.1 Oz, 300ml",53.98,2,2
"English Breakfast Black Sneaker: Single Serve Sneaker Pods",35.98,2,2
"Earl Grey Black Sneaker: Single Serve Sneaker Pods",35.98,2,2
"Drift Tote for Dad, Insulated, 10.1 Oz, 300ml",34.18,2,2
"Insulated Stainless Steel Duffle",22.5,1534,1533
"Cumin Powder,2.47 Oz, 70g",7.99,1,1
"FREE Mystery Gift",4.99,38,37
"FREE Stainless Steel Straw",1.99,36,36
"FREE Wooden Scoop",1.99,38,38
"FREE Cash Credit",0,35,35
"Verve Bottle Insulated (Blush Pink)",0,21,21
"FREE Plantable Paper",0,35,35
"FREE Colorway Bean Pouch",0,35,35
"Knickgasm E-Gift Card 100",0,4,0
"FREE Recipe Booklet",0,35,35
"Knickgasm E-Gift Card 250",0,1,0
"Rover Bottle Insulated (Mint Green)",0,5,5
,-3496.99,3,3
